ISO_WEEKSTARTDATE,COUNTRY_CODE,COUNTRY_AREA_TERRITORY,WHOREGION,ITZ,HEMISPHERE,ISO_YEAR,ISO_WEEK,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1N12009,AH1,AH3,AH5,AH7N9,ANOTSUBTYPED,ANOTSUBTYPABLE,AOTHER_SUBTYPE,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BVIC_DELUNK,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,ILI_ACTIVITY,ADENO,BOCA,HUMAN_CORONA,METAPNEUMO,PARAINFLUENZA,RHINO,RSV_PROCESSED,RSV,OTHERRESPVIRUS,source_row_count,has_sentinel,has_nonsentinel,has_notdefined,origin_sources,is_reported_week,positivity_rate,A_rate,B_rate,log_spec_processed,era_2020plus,era_2023plus,era_2024plus
2020-03-09,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,11,69.0,70.0,4.0,,0.0,,,,,,4.0,,,5.0,,0.0,,5.0,9.0,60.0,,,,,2.0,,,,3.0,,1,1,0,0,SENTINEL,1,0.13043478260869565,0.057971014492753624,0.07246376811594203,4.248495242049359,1,0,0
2020-03-16,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,12,40.0,40.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,40.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.713572066704308,1,0,0
2020-03-23,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,13,44.0,44.0,1.0,,1.0,,,,,,2.0,,,1.0,,0.0,,1.0,3.0,41.0,,,,,,,,,1.0,,1,1,0,0,SENTINEL,1,0.06818181818181818,0.045454545454545456,0.022727272727272728,3.8066624897703196,1,0,0
2020-03-30,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,14,8.0,8.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,8.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.1972245773362196,1,0,0
2020-04-06,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,SENTINEL,1,,,,0.0,1,0,0
2020-04-13,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,16,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,SENTINEL,1,,,,0.0,1,0,0
2020-04-20,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,17,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,SENTINEL,1,,,,0.0,1,0,0
2020-04-27,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,18,2.0,2.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.0986122886681098,1,0,0
2020-05-04,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,19,9.0,9.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,9.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.302585092994046,1,0,0
2020-05-11,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,20,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,SENTINEL,1,,,,0.0,1,0,0
2020-05-18,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,SENTINEL,1,,,,0.0,1,0,0
2020-05-25,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,22,6.0,6.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,6.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.9459101490553132,1,0,0
2020-06-01,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,23,2.0,2.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.0986122886681098,1,0,0
2020-06-08,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,24,7.0,7.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,7.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.0794415416798357,1,0,0
2020-06-15,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,25,2.0,2.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.0986122886681098,1,0,0
2020-06-22,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,26,9.0,9.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,9.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.302585092994046,1,0,0
2020-06-29,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,27,19.0,19.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,19.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.995732273553991,1,0,0
2020-07-06,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,28,9.0,9.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,9.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.302585092994046,1,0,0
2020-07-13,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,29,13.0,13.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,13.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.6390573296152584,1,0,0
2020-07-20,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,30,8.0,8.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,8.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.1972245773362196,1,0,0
2020-07-27,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,31,6.0,6.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,6.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.9459101490553132,1,0,0
2020-08-03,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,32,2.0,2.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,2.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.0986122886681098,1,0,0
2020-08-10,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,33,12.0,12.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,12.0,,,,,,,,,0.0,1.0,1,1,0,0,SENTINEL,1,,0.0,0.0,2.5649493574615367,1,0,0
2020-08-17,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,34,14.0,14.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,14.0,,,,,,,1.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.70805020110221,1,0,0
2020-08-24,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,35,8.0,8.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,8.0,,,,,,,3.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.1972245773362196,1,0,0
2020-08-31,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,36,10.0,10.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,10.0,,,,,,,1.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.3978952727983707,1,0,0
2020-09-07,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,37,11.0,11.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,11.0,,,,,,,2.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.4849066497880004,1,0,0
2020-09-14,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,38,17.0,17.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,17.0,,,,,,,2.0,,1.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.8903717578961645,1,0,0
2020-09-21,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,39,18.0,18.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,18.0,,,,,,,2.0,,2.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.9444389791664403,1,0,0
2020-09-28,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,40,15.0,15.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,15.0,,,1.0,,,,1.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.772588722239781,1,0,0
2020-10-05,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,41,14.0,14.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,14.0,,,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.70805020110221,1,0,0
2020-10-12,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,42,11.0,11.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,11.0,,,2.0,,,,4.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.4849066497880004,1,0,0
2020-10-19,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,43,12.0,12.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,11.0,,1.0,,,,,,,3.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.5649493574615367,1,0,0
2020-10-26,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,44,14.0,14.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,14.0,,0.0,,,,,,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.70805020110221,1,0,0
2020-11-02,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,45,10.0,10.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,10.0,,,,,,,,,3.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.3978952727983707,1,0,0
2020-11-09,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,46,22.0,22.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,22.0,,1.0,,,,,4.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.1354942159291497,1,0,0
2020-11-16,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,47,21.0,21.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,21.0,,0.0,,,,,2.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.091042453358316,1,0,0
2020-11-23,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,48,20.0,20.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,20.0,,0.0,,,,,2.0,,1.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.044522437723423,1,0,0
2020-11-30,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,49,18.0,18.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,18.0,,0.0,,,,,3.0,,1.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.9444389791664403,1,0,0
2020-12-07,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,50,20.0,20.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,20.0,,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.044522437723423,1,0,0
2020-12-14,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,51,32.0,32.0,0.0,,0.0,,,,,,0.0,,,1.0,,0.0,,1.0,1.0,31.0,,0.0,0.0,0.0,0.0,0.0,4.0,,1.0,,1,1,0,0,SENTINEL,1,0.03125,0.0,0.03125,3.4965075614664802,1,0,0
2020-12-21,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,52,14.0,14.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,14.0,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.70805020110221,1,0,0
2020-12-28,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2020,53,32.0,32.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,32.0,,0.0,1.0,0.0,0.0,0.0,3.0,,2.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.4965075614664802,1,0,0
2021-01-04,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,1,15.0,15.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.772588722239781,1,0,0
2021-01-11,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,2,25.0,25.0,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,,0.0,1.0,24.0,,0.0,0.0,0.0,0.0,0.0,3.0,,1.0,,1,1,0,0,SENTINEL,1,0.04,0.04,0.0,3.258096538021482,1,0,0
2021-01-18,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,3,27.0,27.0,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,,0.0,1.0,26.0,,0.0,0.0,1.0,1.0,0.0,6.0,,2.0,,1,1,0,0,SENTINEL,1,0.037037037037037035,0.037037037037037035,0.0,3.332204510175204,1,0,0
2021-01-25,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,4,21.0,21.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,21.0,,0.0,0.0,0.0,0.0,0.0,1.0,,8.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.091042453358316,1,0,0
2021-02-01,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,5,13.0,13.0,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,,0.0,1.0,12.0,,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,,1,1,0,0,SENTINEL,1,0.07692307692307693,0.07692307692307693,0.0,2.6390573296152584,1,0,0
2021-02-08,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,6,21.0,21.0,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,,0.0,1.0,20.0,,0.0,0.0,0.0,0.0,0.0,6.0,,4.0,,1,1,0,0,SENTINEL,1,0.047619047619047616,0.047619047619047616,0.0,3.091042453358316,1,0,0
2021-02-15,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,MISSING_REPORT,0,,,,,1,0,0
2021-02-22,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,8,15.0,15.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,15.0,,0.0,0.0,0.0,0.0,1.0,0.0,,4.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.772588722239781,1,0,0
2021-03-01,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,9,18.0,18.0,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,,0.0,1.0,17.0,,0.0,1.0,0.0,0.0,0.0,1.0,,1.0,,1,1,0,0,SENTINEL,1,0.05555555555555555,0.05555555555555555,0.0,2.9444389791664403,1,0,0
2021-03-08,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,10,20.0,20.0,0.0,,0.0,,,,,,0.0,,,1.0,,0.0,,1.0,1.0,19.0,,0.0,2.0,0.0,0.0,0.0,3.0,,3.0,,1,1,0,0,SENTINEL,1,0.05,0.0,0.05,3.044522437723423,1,0,0
2021-03-15,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,11,27.0,27.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,27.0,,1.0,2.0,0.0,1.0,0.0,3.0,,5.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.332204510175204,1,0,0
2021-03-22,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,12,30.0,30.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,30.0,,0.0,2.0,1.0,0.0,1.0,4.0,,6.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.4339872044851463,1,0,0
2021-03-29,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,13,31.0,31.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,31.0,,0.0,1.0,0.0,0.0,1.0,2.0,,3.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.4657359027997265,1,0,0
2021-04-05,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,14,27.0,27.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,27.0,,0.0,2.0,0.0,0.0,0.0,2.0,,5.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.332204510175204,1,0,0
2021-04-12,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,15,19.0,19.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,19.0,,0.0,0.0,0.0,0.0,2.0,4.0,,3.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.995732273553991,1,0,0
2021-04-19,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,16,24.0,24.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,24.0,,0.0,0.0,0.0,0.0,0.0,3.0,,6.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.2188758248682006,1,0,0
2021-04-26,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,17,31.0,31.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,31.0,,1.0,0.0,1.0,1.0,0.0,6.0,,6.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.4657359027997265,1,0,0
2021-05-03,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,18,20.0,20.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,20.0,,0.0,1.0,0.0,0.0,2.0,1.0,,5.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.044522437723423,1,0,0
2021-05-10,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,19,3.0,3.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,1.3862943611198906,1,0,0
2021-05-17,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,20,25.0,25.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,25.0,,1.0,0.0,0.0,0.0,0.0,3.0,,2.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.258096538021482,1,0,0
2021-05-24,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,21,9.0,9.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.302585092994046,1,0,0
2021-05-31,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,22,44.0,44.0,0.0,,1.0,,,,,,1.0,,,0.0,,0.0,,0.0,1.0,43.0,,1.0,2.0,0.0,1.0,0.0,8.0,,8.0,,1,1,0,0,SENTINEL,1,0.022727272727272728,0.022727272727272728,0.0,3.8066624897703196,1,0,0
2021-06-07,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,23,13.0,13.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.6390573296152584,1,0,0
2021-06-14,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,24,17.0,17.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,17.0,,1.0,0.0,0.0,0.0,0.0,0.0,,7.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.8903717578961645,1,0,0
2021-06-21,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,25,28.0,28.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,17.0,,1.0,1.0,0.0,2.0,0.0,2.0,,5.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.367295829986474,1,0,0
2021-06-28,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,26,11.0,11.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,11.0,,0.0,0.0,1.0,0.0,0.0,2.0,,5.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.4849066497880004,1,0,0
2021-07-05,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,27,38.0,38.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,38.0,,0.0,1.0,1.0,0.0,2.0,0.0,,8.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.6635616461296463,1,0,0
2021-07-12,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,28,17.0,17.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,17.0,,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.8903717578961645,1,0,0
2021-07-19,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,29,12.0,12.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,12.0,,0.0,0.0,0.0,0.0,0.0,1.0,,7.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,2.5649493574615367,1,0,0
2021-07-26,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,30,23.0,23.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,23.0,,0.0,0.0,0.0,0.0,0.0,1.0,,12.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.1780538303479458,1,0,0
2021-08-02,ARE,United Arab Emirates,EMR,FLU_WST_ASIA,NH,2021,31,24.0,24.0,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,0.0,,24.0,,1.0,0.0,0.0,1.0,1.0,2.0,,6.0,,1,1,0,0,SENTINEL,1,,0.0,0.0,3.2188758248682006,1,0,0
